Country,Date,Count
Barbados,03-05-2020,0
Barbados,03-06-2020,0
Barbados,03-07-2020,0
Barbados,03-08-2020,0
Barbados,03-09-2020,0
Barbados,03-10-2020,0
Barbados,03-11-2020,0
Barbados,03-12-2020,0
Barbados,13-03-2020,0
Barbados,14-03-2020,0
Barbados,15-03-2020,0
Barbados,16-03-2020,0
Barbados,17-03-2020,2
Barbados,18-03-2020,2
Barbados,19-03-2020,5
Barbados,20-03-2020,5
Barbados,21-03-2020,6
Barbados,22-03-2020,14
Barbados,23-03-2020,14
Belarus,22-01-2020,0
Belarus,23-01-2020,0
Belarus,24-01-2020,0
